prediction;test_price
28.19;28.78
28.56;28.81
28.58;28.14
28.71;28.2
28.32;28.74
28.17;29.0
28.43;28.63
28.7;28.29
28.6;28.28
28.52;28.16
28.48;27.78
28.37;27.72
27.98;27.16
27.82;27.18
27.48;26.64
27.33;26.31
26.9;26.76
26.47;26.45
26.63;26.48
26.65;26.04
26.63;26.02
26.49;25.1
26.4;24.87
25.58;24.53
25.24;24.88
24.88;25.5
24.96;25.02
25.26;25.62
25.21;25.12
25.43;25.66
25.31;26.03
25.62;26.75
25.97;26.96
26.41;26.23
26.74;27.48
26.5;27.67
26.96;28.02
27.24;27.85
27.59;27.94
27.6;28.6
27.71;28.19
28.27;28.34
28.05;28.08
28.12;28.42
28.0;28.15
28.16;28.41
28.11;28.69
28.05;28.69
28.35;28.88
28.32;28.39
28.62;28.27
28.48;28.27
28.39;27.8
28.52;27.6
28.06;27.26
27.82;26.83
27.46;26.57
27.16;27.21
26.67;27.4
26.9;27.33
27.27;26.85
27.25;26.57
26.99;27.67
26.63;27.25
27.3;27.83
27.16;27.95
27.59;27.99
27.75;27.71
27.72;27.37
27.63;27.04
27.34;27.37
26.84;27.84
27.03;27.53
27.42;27.51
27.35;27.25
27.43;27.5
27.28;27.1
27.4;26.91
27.24;27.35
27.02;26.33
27.31;26.21
26.68;26.11
26.44;26.45
26.42;26.85
26.52;27.33
26.9;27.44
27.42;27.3
27.82;27.6
27.77;27.86
27.91;28.23
28.15;28.29
28.24;28.58
28.24;28.29
28.52;29.05
28.5;29.22
28.88;29.04
29.14;29.42
29.09;30.27
29.28;30.15
29.96;29.92
30.08;30.33
29.9;29.95
29.87;30.36
29.76;30.52
29.87;30.45
30.12;30.29
30.23;29.74
30.05;29.36
29.53;29.32
29.21;28.99
29.11;29.35
28.85;29.54
29.05;29.49
29.25;29.31
29.33;29.05
29.3;28.95
29.18;29.97
29.04;30.09
29.52;28.8
29.92;28.95
29.36;29.51
29.17;29.02
29.46;29.0
29.28;29.6
29.17;29.36
29.63;28.88
29.71;28.74
29.28;28.69
28.93;27.86
28.83;28.26
28.24;28.11
28.4;28.34
28.44;27.51
28.49;27.54
27.98;27.22
27.94;27.09
27.53;26.79
27.35;26.96
27.17;26.24
27.03;26.13
26.43;25.77
26.33;25.82
26.01;25.47
25.7;25.39
25.64;25.67
25.56;26.55
25.6;27.22
26.29;26.96
26.96;26.6
26.91;26.53
26.6;27.17
26.5;27.06
26.83;27.13
26.86;26.61
26.88;26.97
26.68;27.63
26.64;26.48
27.14;26.24
26.78;26.49
26.29;27.31
26.52;27.41
26.91;26.97
27.3;27.94
27.11;28.61
27.51;28.06
28.0;27.69
27.89;28.2
27.66;28.35
27.98;27.99
28.19;27.7
27.85;27.76
27.76;27.77
27.63;28.09
27.61;27.57
27.92;27.66
27.49;27.71
27.6;28.43
27.48;28.22
27.98;28.3
28.16;28.36
28.21;27.51
28.23;27.36
27.63;28.72
27.32;28.29
28.24;28.59
28.26;28.74
28.56;29.01
28.78;28.23
28.93;28.36
28.5;28.08
28.31;29.17
28.02;30.0
28.71;28.71
29.49;28.38
29.05;27.72
28.64;28.33
27.95;28.57
28.23;25.94
28.6;26.77
27.03;26.76
27.07;26.14
26.88;25.77
26.36;24.65
26.04;23.18
25.1;22.4
23.96;20.76
23.11;20.1
21.69;23.31
20.7;22.4
22.52;20.39
22.77;21.17
21.6;21.59
21.6;23.16
21.76;22.08
22.89;20.11
22.48;20.41
21.23;19.72
21.02;18.64
20.12;20.86
19.29;20.91
20.4;22.1
20.74;22.6
21.68;21.84
22.5;22.7
22.0;21.14
22.46;19.9
21.83;20.38
20.43;19.26
20.5;19.0
19.69;17.59
19.26;18.89
18.41;18.39
18.7;17.22
18.9;18.03
18.13;17.4
18.39;16.34
18.24;18.42
17.56;19.37
18.22;19.22
19.3;19.63
19.57;19.65
19.73;17.74
20.19;18.72
18.92;19.14
18.99;19.01
19.39;19.86
19.35;21.74
20.09;20.53
21.46;20.68
21.28;20.21
20.83;20.02
20.3;20.16
20.08;21.06
20.04;20.88
20.74;20.21
20.9;19.86
20.28;19.42
19.92;19.35
20.01;19.47
19.9;19.64
19.81;19.01
19.74;19.9
19.27;20.09
19.63;21.18
19.89;20.81
20.81;21.53
